user,time,star,comment
Thi Võ,"8 tháng 1, 2022",4,Tôi rất thích mua sản phẩm trên shoppe
Mùi Ngô,"7 tháng 1, 2022",5,Tải ngay shoppe để mua gì cũng có
Thảo Đoàn,"7 tháng 1, 2022",5,Shop bán đắt quá kh có tiền mua
Thảo Đoàn,"8 tháng 1, 2022",4,Hơi lác nha nhưng vẫn cho 5 sao nha
Ma Mi,"8 tháng 1, 2022",5,Chán mà shoppee bị lỗi tức ối máu
Bron Lil,"8 tháng 1, 2022",1,Hay vòn có chò chơi kiếm xu nữa
Bron Lil,"8 tháng 1, 2022",5,Tôi ko thể đăng nhập vào tài khoản
Trần Vy Hân,"5 tháng 1, 2022",5,Voucher 100k mà không dùng được tức á
Xuan Nguyễn,"28 tháng 12, 2021",1,Quá lag tôi tải app khác cho nhanh
Xuan Nguyễn,"30 tháng 12, 2021",2,Đặt đồ đơn giản mà ship hơi cao
Sơn Vũ Ngọc,"2 tháng 1, 2022",3,Ứng dụng tuyệt vời nhất tôi từng biết
Sơn Phạm,"2 tháng 1, 2022",5,OK chưa quản lý tốt người bán hàng
Sơn Phạm,"6 tháng 1, 2022",5,Cho nhân viên thức khuya thêm tí nữa
FGTv•Ác Thần,"1 tháng 1, 2022",3,Các bạn zo giành qua với mình nẹk
Hauu,"1 tháng 1, 2022",5,Ok nhưng mấy cái shop giao hơi lâu
Hauu,"3 tháng 1, 2022",1,Ứng dụng rất là có ích luôn ạ
Hoang Thanh,"4 tháng 1, 2022",5,Mua quài riết nghèo nên cho 4 sao
Đào Lê,"5 tháng 1, 2022",1,Nhà phát triển cho ít quảng cáo lại
Minh chánh Trần,"4 tháng 1, 2022",4,Nhân viên rep ko trả lời thất vọng
thien phu,"4 tháng 1, 2022",1,Nhiệt tinht vành Gòn nhẹ khá là OK
Van Huynh,"6 tháng 1, 2022",5,App load có vẻ là hơi lâu ạ
Thu thao Le thi,"6 tháng 1, 2022",5,Dùng voucher giảm 50k sao k đc dị
Thu thao Le thi,"5 tháng 1, 2022",4,Mua sắm giá rẻ hàng chất lượng cao
Itsuka Kotori,"5 tháng 1, 2022",1,Dễ sử dụng cho con lowtech như mình
Itsuka Kotori,"3 tháng 1, 2022",5,Chỉ có cái là k cho ktra hàng
Park Hyun Ki,"7 tháng 1, 2022",5,Tốt nhưng cứ bị dừng cho 2 sao
Linh Vungocgia,"1 tháng 1, 2022",5,Nhờ Sh**** mà lấy lại được nick fb
Tiến Phát,"1 tháng 1, 2022",4,Nói chung là rất hay và tuyệt vời
Tiến Phát,"2 tháng 1, 2022",4,Sh**** bán đồ rất hợp túi tiền nữa
Nguyệt Như,"6 tháng 1, 2022",1,App hay lỗi vcđ Trông mà phát ngán
Châu Tăng,"6 tháng 1, 2022",5,Vào lướt Sh**** mà lag đứng đơ chán
Thi xuân Nguyen,"2 tháng 1, 2022",5,Ứng dụng mua hàng uy tín chất lượng
Trương Tam Phong,"2 tháng 1, 2022",3,chăm sóc khách hàng còn chán lắm ạ
Trương Tam Phong,"7 tháng 1, 2022",5,Cần cải thiện thêm nhiều tính năng mới
Ngọc Hồng,"7 tháng 1, 2022",5,Mọi thứ tôi cần đều có tại Sh****
Ngọc Hồng,"4 tháng 1, 2022",5,Tốt đóng gói cẩn thận giao hàng nhanh
31-Trịnh Thị Hoài Tú,"4 tháng 1, 2022",2,App cứ bị lag tức vàng người luôn
31-Trịnh Thị Hoài Tú,"30 tháng 12, 2021",5,Nó có mã giảm giá nên mình mua cái gì cũng rẻ luôn!!!!!
Lộc Trần,"30 tháng 12, 2021",5,App chả ra gì. Nhân viên chăm sóc kh kém.
